ID do Cliente,Data do Feedback,Tipo de Feedback,Comentário
1,2024-04-29,Negativo,Houve um problema com a entrega.
2,2023-06-14,Negativo,Houve um problema com a entrega.
3,2024-03-14,Positivo,Excelente serviço!
4,2024-02-02,Positivo,Muito satisfeito com o produto.
5,2023-11-05,Positivo,Ótimo atendimento ao cliente.
6,2023-11-10,Positivo,Ótimo atendimento ao cliente.
7,2024-01-18,Negativo,Péssima qualidade do produto.
8,2023-08-23,Negativo,Não estou satisfeito com a compra.
9,2024-04-24,Positivo,Produto de alta qualidade.
10,2023-10-30,Positivo,Recomendo para todos!
11,2024-01-13,Positivo,Muito satisfeito com o produto.
12,2023-10-16,Negativo,Tive problemas com a navegação no site.
13,2023-11-15,Negativo,Houve um problema com a entrega.
14,2024-04-27,Negativo,Péssima qualidade do produto.
15,2024-03-22,Negativo,Não estou satisfeito com a compra.
16,2024-05-12,Positivo,Excelente serviço!
17,2024-02-18,Negativo,Houve um problema com a entrega.
18,2024-01-01,Positivo,Recomendo para todos!
19,2024-01-06,Negativo,Tive problemas com a navegação no site.
20,2023-07-01,Positivo,Ótimo atendimento ao cliente.
21,2023-05-24,Positivo,Muito satisfeito com o produto.
22,2023-11-27,Positivo,Recomendo para todos!
23,2023-11-09,Positivo,Excelente serviço!
24,2024-04-19,Positivo,Produto de alta qualidade.
25,2024-05-11,Negativo,Não estou satisfeito com a compra.
26,2024-04-11,Negativo,Tive problemas com a navegação no site.
27,2024-05-13,Negativo,Péssima qualidade do produto.
28,2023-10-04,Positivo,Excelente serviço!
29,2023-10-21,Positivo,Recomendo para todos!
30,2023-08-13,Negativo,Não estou satisfeito com a compra.
31,2023-08-31,Negativo,Houve um problema com a entrega.
32,2023-06-27,Positivo,Muito satisfeito com o produto.
33,2024-02-23,Positivo,Ótimo atendimento ao cliente.
34,2023-12-15,Negativo,Péssima qualidade do produto.
35,2024-02-10,Negativo,Houve um problema com a entrega.
36,2023-10-11,Positivo,Excelente serviço!
37,2023-11-21,Positivo,Recomendo para todos!
38,2023-07-18,Positivo,Experiência de compra maravilhosa.
39,2024-01-24,Negativo,Não estou satisfeito com a compra.
40,2023-06-10,Positivo,Excelente serviço!
41,2024-01-09,Positivo,Muito satisfeito com o produto.
42,2024-03-13,Positivo,Recomendo para todos!
43,2023-06-21,Negativo,Tive problemas com a navegação no site.
44,2024-04-23,Positivo,Excelente serviço!
45,2023-05-22,Positivo,Recomendo para todos!
46,2023-10-27,Positivo,Muito satisfeito com o produto.
47,2023-09-03,Positivo,Ótimo atendimento ao cliente.
48,2023-05-28,Negativo,Houve um problema com a entrega.
49,2024-03-30,Positivo,Excelente serviço!
50,2023-12-05,Positivo,Experiência de compra maravilhosa.
