ID da Campanha,Canal de Marketing,Data de Início,Data de Fim,Descrição,Custo,Resultado (Taxa de Conversão)
1,Facebook,2022-10-26,2023-08-28,O conforto de conseguir direto da fonte,"R$6,508,44",0.07
2,LinkedIn,2022-08-10,2024-05-09,O poder de mudar com toda a tranquilidade,"R$9,220,85",0.07
3,Facebook,2022-06-13,2023-12-15,O prazer de ganhar sem preocupação,"R$5,426,96",0.07
4,Google Ads,2023-04-16,2023-05-10,A liberdade de avançar direto da fonte,"R$1,266,98",0.05
5,LinkedIn,2023-02-05,2023-03-24,A vantagem de conseguir sem preocupação,"R$5,759,49",0.03
6,Email Marketing,2023-01-17,2023-01-31,A possibilidade de atingir seus objetivos antecipadamente,"R$5,233,55",0.1
7,Instagram,2022-06-24,2023-04-23,O prazer de ganhar simplesmente,"R$5,185,49",0.07
8,Facebook,2023-05-20,2023-06-06,O conforto de ganhar antes de tudo,"R$3,371,31",0.03
9,Email Marketing,2022-11-06,2024-03-19,A liberdade de conseguir naturalmente,"R$8,646,04",0.07
10,Google Ads,2023-04-05,2023-05-04,O conforto de ganhar antes de tudo,"R$4,552,82",0.03
